center_latitude,center_longitude,cluster_label
54.010636,-6.399373,0
39.53388,-6.158066,0
52.391926,-3.797565,0
50.87657,-4.371603,0
36.835926,10.216213,0
21.778493,-73.220901,2
47.395771,0.687958,0
-35.394795,173.530062,4
51.529403,-0.152367,0
51.847464,-1.371517,0
54.974777,28.700359,0
31.22181,-81.356713,2
36.669911,-81.408518,2
51.165496,-1.442955,0
52.293772,0.186696,0
51.518396,-0.089156,0
49.662188,79.352529,1
18.721078,34.775708,1
21.720185,83.577376,1
55.510369,9.812054,0
44.821934,20.452629,0
51.774895,0.652858,0
58.044505,-76.20273,2
56.02743,-1.346311,0
52.986221,-2.09473,0
49.758668,17.26326,0
50.873272,3.931007,0
54.786617,40.800661,0
38.031759,128.182916,1
42.309752,-76.578662,2
51.349194,10.285709,0
43.343616,-84.239637,2
28.996874,-112.099353,2
3.596243,9.69873,3
46.872349,1.674347,0
50.471778,17.335124,0
49.14758,16.807362,0
45.466448,9.169484,0
48.865123,2.338026,0
-6.049546,31.249434,3
53.970819,-0.471881,0
59.912771,10.746477,0
-15.630256,38.007957,3
50.554403,4.50156,0
10.883822,79.165145,1
21.596804,8.343618,1
-21.641275,-60.971773,3
-4.087118,34.947253,3
15.31406,42.767652,1
59.721824,-87.266704,2
-20.173748,-58.857801,3
50.690274,-1.332092,0
44.745488,5.29435,0
44.529519,33.630643,0
-32.591526,-62.889656,3
47.764207,0.961606,0
48.953136,7.549333,0
38.360198,15.948161,0
51.83557,14.985287,0
51.879339,-4.211307,0
60.952057,-16.087445,0
48.790035,8.008937,0
21.3829,-77.92136,2
4.318472,-58.914746,3
39.983444,120.336201,1
48.641445,10.582451,0
56.595699,-3.361867,0
51.511887,-0.115116,0
39.334614,-9.183376,0
51.388977,0.50332,0
32.118111,34.639949,1
47.077193,5.281751,0
43.065523,-79.051857,2
46.548016,2.932343,0
36.937965,21.682844,0
39.910933,-91.888444,2
1.939953,115.196254,1
48.13878,11.583519,0
34.64489,-100.74194,2
53.316937,20.387879,0
31.908639,-114.662217,2
-16.216771,27.322828,3
49.080283,1.498196,0
41.889208,12.468247,0
50.991091,-1.29454,0
55.857485,-4.256131,0
44.012465,-72.033742,2
23.347963,-102.638165,2
41.88516,12.486447,0
48.144512,17.994195,0
51.59504,-0.721577,0
42.748936,-75.888446,2
31.022039,-91.531342,2
56.223571,-2.715113,0
16.735205,98.623683,1
31.08027,-8.183807,0
17.700812,74.161641,1
55.96441,10.332846,0
50.432281,3.88836,0
31.832999,34.477481,1
50.347815,18.922651,0
39.027629,-9.169346,0
0.613416,14.963506,3
53.710094,-1.418782,0
41.29122,-72.90913,2
15.769146,-65.437978,2
59.774959,16.028267,0
41.222417,-86.407278,2
27.698686,32.492164,1
11.552487,90.714793,1
51.236957,4.411238,0
-5.061118,32.719207,3
51.401593,-0.461803,0
26.111828,81.603631,1
48.850758,2.358839,0
21.481145,-157.962426,2
55.957403,-3.191021,0
18.30418,84.03595,1
43.768231,11.262752,0
52.372986,14.775737,0
53.145501,-0.990083,0
36.456499,-79.673034,2
47.023658,1.783154,0
40.167358,-89.766644,2
51.529371,-0.15209,0
50.11164,8.676492,0
51.528357,-0.134913,0
5.576936,95.273442,1
31.769267,35.233766,1
32.542078,35.155245,1
38.049363,15.05393,0
37.26183,-76.648521,2
50.869597,0.33867,0
51.514081,-0.759547,0
19.879358,-100.331416,2
35.465236,-78.90654,2
16.772633,-3.00682,3
29.70427,102.321538,1
42.938738,-70.830374,2
52.373169,5.22499,0
38.315783,-77.629605,2
40.251115,-74.745371,2
-33.842872,151.241837,4
42.658508,18.089936,0
53.152663,-0.967969,0
2.908323,-59.921229,3
53.961811,-1.219557,0
45.572604,2.49189,0
42.854019,-103.811365,2
51.059493,13.727291,0
34.594043,36.574172,1
41.119443,1.248351,0
54.467035,-4.369029,0
37.773522,-102.193695,2
56.96169,-4.927745,0
51.010034,0.187035,0
30.887927,31.883371,1
4.273097,18.987742,3
48.856924,2.283069,0
54.313067,13.094318,0
-1.514806,5.055435,3
19.846892,-89.214536,2
47.204131,9.531879,0
50.721127,-3.532932,0
49.630983,9.390652,0
10.696739,-13.758183,3
35.689258,139.765272,1
49.033056,8.064002,0
55.952152,-3.187022,0
-34.821369,150.661873,4
29.999424,31.27346,1
25.003687,80.479038,1
52.314019,-8.129863,0
50.923103,3.580104,0
54.481973,-2.355259,0
14.286844,-8.604443,3
45.955651,-94.694359,2
37.205728,-77.385227,2
38.637487,24.607512,0
42.157651,14.002632,0
37.769621,-2.268803,0
43.126395,5.924027,0
46.848814,18.056294,0
-9.668232,18.084444,3
-27.938791,-57.693269,3
36.847818,10.141035,0
41.335177,-72.727218,2
51.043355,13.748931,0
51.896933,-2.078877,0
51.541155,-0.253677,0
42.480989,-70.64827,2
35.771318,-5.832016,0
52.548965,15.146028,0
13.063728,-9.524519,3
54.071466,-7.018654,0
37.033266,4.260568,0
23.263683,87.747938,1
51.567606,-99.559628,2
-20.186168,-43.543825,3
38.292045,-96.267883,2
48.369493,25.334269,0
42.583292,-71.343048,2
63.543748,10.81314,0
59.939708,30.310866,0
54.300817,13.050553,0
37.52155,-77.30708,2
37.106646,-96.307809,2
48.462867,1.777791,0
50.552683,4.636833,0
61.506887,6.088859,0
53.96603,-1.243808,0
35.115986,110.755018,1
52.455194,-2.033032,0
21.823167,45.936061,1
37.606952,126.710933,1
53.407162,-7.314269,0
51.51193,-0.091302,0
51.384902,-2.361389,0
